# (1)t	# (2) P[4<--1](t)	# (3) P[4<--2](t)	# (4) P[4<--3](t)	# (5) P[4<--4](t)
744.0	0.0	-0.2655201603	0.4653306355	0.0
748.0	0.0	-0.2681836777	0.4685017939	0.0
752.0	0.0	-0.2708539006	0.471673588	0.0
756.0	0.0	-0.2735307485	0.474846001	0.0
760.0	0.0	-0.2762141419	0.4780190166	0.0
764.0	0.0	-0.2789040018	0.4811926192	0.0
768.0	0.0	-0.2816002502	0.4843667932	0.0
772.0	0.0	-0.2843028101	0.4875415238	0.0
776.0	0.0	-0.2870116052	0.4907167962	0.0
780.0	0.0	-0.2897265598	0.4938925963	0.0
784.0	0.0	-0.2924475994	0.4970689102	0.0
788.0	0.0	-0.29517465	0.5002457245	0.0
792.0	0.0	-0.2979076386	0.503423026	0.0
796.0	0.0	-0.3006464929	0.5066008019	0.0
800.0	0.0	-0.3033911414	0.5097790398	0.0
804.0	0.0	-0.3061415135	0.5129577276	0.0
808.0	0.0	-0.308897539	0.5161368534	0.0
812.0	0.0	-0.311659149	0.5193164058	0.0
816.0	0.0	-0.314426275	0.5224963736	0.0
820.0	0.0	-0.3171988495	0.5256767458	0.0
824.0	0.0	-0.3199768054	0.5288575119	0.0
828.0	0.0	-0.3227600767	0.5320386615	0.0
832.0	0.0	-0.325548598	0.5352201846	0.0
836.0	0.0	-0.3283423047	0.5384020714	0.0
840.0	0.0	-0.3311411328	0.5415843123	0.0
844.0	0.0	-0.3339450191	0.544766898	0.0
848.0	0.0	-0.3367539011	0.5479498194	0.0
852.0	0.0	-0.3395677171	0.5511330679	0.0
856.0	0.0	-0.3423864059	0.5543166347	0.0
860.0	0.0	-0.3452099073	0.5575005116	0.0
864.0	0.0	-0.3480381614	0.5606846904	0.0
868.0	0.0	-0.3508711093	0.5638691631	0.0
872.0	0.0	-0.3537086927	0.5670539221	0.0
876.0	0.0	-0.3565508539	0.5702389598	0.0
880.0	0.0	-0.359397536	0.573424269	0.0
884.0	0.0	-0.3622486825	0.5766098425	0.0
888.0	0.0	-0.3651042379	0.5797956734	0.0
892.0	0.0	-0.367964147	0.5829817548	0.0
896.0	0.0	-0.3708283556	0.5861680803	0.0
900.0	0.0	-0.3736968098	0.5893546435	0.0
904.0	0.0	-0.3765694565	0.592541438	0.0
908.0	0.0	-0.3794462432	0.5957284579	0.0
912.0	0.0	-0.382327118	0.5989156972	0.0
916.0	0.0	-0.3852120297	0.6021031501	0.0
920.0	0.0	-0.3881009275	0.6052908111	0.0
924.0	0.0	-0.3909937615	0.6084786747	0.0
928.0	0.0	-0.393890482	0.6116667355	0.0
932.0	0.0	-0.3967910403	0.6148549884	0.0
936.0	0.0	-0.3996953879	0.6180434284	0.0
940.0	0.0	-0.4026034772	0.6212320504	0.0
944.0	0.0	-0.4055152609	0.6244208499	0.0
948.0	0.0	-0.4084306925	0.627609822	0.0
952.0	0.0	-0.4113497259	0.6307989624	0.0
956.0	0.0	-0.4142723155	0.6339882664	0.0
960.0	0.0	-0.4171984165	0.63717773	0.0
964.0	0.0	-0.4201279844	0.6403673487	0.0
968.0	0.0	-0.4230609753	0.6435571187	0.0
972.0	0.0	-0.4259973458	0.6467470359	0.0
976.0	0.0	-0.4289370532	0.6499370965	0.0
980.0	0.0	-0.431880055	0.6531272966	0.0
984.0	0.0	-0.4348263095	0.6563176327	0.0
988.0	0.0	-0.4377757754	0.6595081011	0.0
992.0	0.0	-0.4407284118	0.6626986984	0.0
996.0	0.0	-0.4436841785	0.6658894212	0.0
1000.0	0.0	-0.4466430357	0.6690802663	0.0
1004.0	0.0	-0.4496049439	0.6722712303	0.0
1008.0	0.0	-0.4525698644	0.6754623101	0.0
1012.0	0.0	-0.4555377587	0.6786535028	0.0
1016.0	0.0	-0.458508589	0.6818448054	0.0
1020.0	0.0	-0.4614823178	0.685036215	0.0
1024.0	0.0	-0.4644589081	0.6882277287	0.0
1028.0	0.0	-0.4674383234	0.6914193438	0.0
1032.0	0.0	-0.4704205276	0.6946110577	0.0
1036.0	0.0	-0.473405485	0.6978028678	0.0
1040.0	0.0	-0.4763931604	0.7009947716	0.0
1044.0	0.0	-0.479383519	0.7041867665	0.0
1048.0	0.0	-0.4823765266	0.7073788502	0.0
1052.0	0.0	-0.4853721491	0.7105710204	0.0
1056.0	0.0	-0.4883703531	0.7137632748	0.0
