#t	#1	#2	#3	#4
17428.0	-4.033839765379785e-12	0.0	7.19753514620519e-12	-3.3571125122720688e-12
17432.0	-4.035656637440671e-12	0.0	7.200962939763974e-12	-3.358772624190733e-12
17436.0	-4.037473914122114e-12	0.0	7.204388492202418e-12	-3.360433140685921e-12
17440.0	-4.0392915947957095e-12	0.0	7.2078140446408625e-12	-3.3620940611185363e-12
17444.0	-4.041109678635454e-12	0.0	7.211246320440325e-12	-3.3637553846744548e-12
17448.0	-4.042928165300183e-12	0.0	7.214688681281314e-12	-3.365417111013151e-12
17452.0	-4.044747055516775e-12	0.0	7.218132162682472e-12	-3.3670792408624296e-12
17456.0	-4.046566350554984e-12	0.0	7.2215767646438e-12	-3.3687417755040594e-12
17460.0	-4.048386051615975e-12	0.0	7.225012402123771e-12	-3.3704047162300237e-12
17464.0	-4.050206159243975e-12	0.0	7.228445798483403e-12	-3.3720680635836226e-12
17468.0	-4.0520266728549585e-12	0.0	7.23189264156507e-12	-3.373731816980078e-12
17472.0	-4.053847592759224e-12	0.0	7.235340605206904e-12	-3.3753959767289178e-12
17476.0	-4.055668920528133e-12	0.0	7.2387863277284015e-12	-3.3770605443105165e-12
17480.0	-4.0574906571489455e-12	0.0	7.24223092968973e-12	-3.378725520712956e-12
17484.0	-4.0593128029384145e-12	0.0	7.245673290530718e-12	-3.3803909062532706e-12
17488.0	-4.0611353578991875e-12	0.0	7.249112289691198e-12	-3.3820567009345375e-12
17492.0	-4.062958321584338e-12	0.0	7.252550168291509e-12	-3.3837229043102965e-12
17496.0	-4.064781692859597e-12	0.0	7.255992529132498e-12	-3.3853895152353923e-12
17500.0	-4.066605470943897e-12	0.0	7.259436010533656e-12	-3.3870565329296736e-12
17504.0	-4.06842965571953e-12	0.0	7.262880612494984e-12	-3.38872395728731e-12
17508.0	-4.070254246848712e-12	0.0	7.266325214456312e-12	-3.3903917880610808e-12
17512.0	-4.072079243898358e-12	0.0	7.269764213616792e-12	-3.392060024907439e-12
17516.0	-4.073904645979807e-12	0.0	7.273199851096763e-12	-3.3937286668455703e-12
17520.0	-4.075730451362592e-12	0.0	7.276641091377582e-12	-3.395397712144278e-12
17524.0	-4.077556658510567e-12	0.0	7.280093537260097e-12	-3.3970671593570127e-12
17528.0	-4.0793832674088074e-12	0.0	7.283557188744306e-12	-3.3987370083765305e-12
17532.0	-4.08121027970799e-12	0.0	7.287025322469195e-12	-3.400407260852625e-12
17536.0	-4.083037697917944e-12	0.0	7.290495697314424e-12	-3.402077919294453e-12
17540.0	-4.084865524520018e-12	0.0	7.293964951599482e-12	-3.4037489861828612e-12
17544.0	-4.0866937617326345e-12	0.0	7.297430844204033e-12	-3.4054204637357356e-12
17548.0	-4.088522411474937e-12	0.0	7.300898977928922e-12	-3.4070923537811766e-12
17552.0	-4.0903514754627355e-12	0.0	7.304364870533472e-12	-3.4087646580355442e-12
17556.0	-4.0921809550445385e-12	0.0	7.307826280897344e-12	-3.410437377847879e-12
17560.0	-4.0940108506966564e-12	0.0	7.311285450140877e-12	-3.412110513774045e-12
17564.0	-4.095841162194613e-12	0.0	7.31474349882424e-12	-3.413784065589197e-12
17568.0	-4.097671888801577e-12	0.0	7.318198185827094e-12	-3.415458032556144e-12
17572.0	-4.099503029362493e-12	0.0	7.321649511149439e-12	-3.4171324135080446e-12
17576.0	-4.101334582231677e-12	0.0	7.325100836471784e-12	-3.4188072067084893e-12
17580.0	-4.103166545285e-12	0.0	7.328547679553451e-12	-3.420482410034132e-12
17584.0	-4.104998915874584e-12	0.0	7.331997884315625e-12	-3.422158020849232e-12
17588.0	-4.1068316915583795e-12	0.0	7.335458174119327e-12	-3.423834036712435e-12
17592.0	-4.108664871120424e-12	0.0	7.338921825603538e-12	-3.4255104564874595e-12
17596.0	-4.110498454327335e-12	0.0	7.342387718208088e-12	-3.4271872799517743e-12
17600.0	-4.112332441265197e-12	0.0	7.345855851932977e-12	-3.4288645071909304e-12
17604.0	-4.11416683223065e-12	0.0	7.349322865097697e-12	-3.4305421385010542e-12
17608.0	-4.116001627609885e-12	0.0	7.352789878262416e-12	-3.432220174188904e-12
