#t	#1	#2	#3	#4	#5	#6	#7
683.0	3.016050083321188e-5	-1.5230030542796656e-5	9.599578392861761e-5	0.0	1.7749912789407802e-5	7.614054519484738e-6	-1.867201762996881e-5
684.0	3.0125400964537208e-5	-1.5212775219431874e-5	9.585677549698249e-5	0.0	1.7749504492268394e-5	7.602398678777041e-6	-1.8638454835924092e-5
685.0	3.0090358047381713e-5	-1.519552773583566e-5	9.571802002605228e-5	0.0	1.7749078481372275e-5	7.590763779247564e-6	-1.8604955345183903e-5
686.0	3.0055372534894042e-5	-1.5178289040029947e-5	9.557951845863051e-5	0.0	1.7748631855405688e-5	7.579151627791385e-6	-1.8571517978984106e-5
687.0	3.0020444833801586e-5	-1.5161060070365878e-5	9.544127170039396e-5	0.0	1.774816170278837e-5	7.567563980634901e-6	-1.853814160557968e-5
688.0	2.998557530476528e-5	-1.5143841754023855e-5	9.530328061802424e-5	0.0	1.774766510810262e-5	7.5560025412441945e-6	-1.850482514080899e-5
689.0	2.9950764262812005e-5	-1.512663500557062e-5	9.516554603745593e-5	0.0	1.7747139158362616e-5	7.5444689583781144e-6	-1.8471567548578294e-5
690.0	2.9916011977839062e-5	-1.5109440725576699e-5	9.50280687422495e-5	0.0	1.7746580949109215e-5	7.532964824289587e-6	-1.8438367841247803e-5
691.0	2.9881318675189265e-5	-1.5092259799294506e-5	9.489084947209016e-5	0.0	1.7745987590333064e-5	7.521491673073088e-6	-1.8405225079925974e-5
692.0	2.984668453629445e-5	-1.5075093095397094e-5	9.475388892141448e-5	0.0	1.7745356212205027e-5	7.5100509791582415e-6	-1.837213837467975e-5
693.0	2.981210969938316e-5	-1.5057941464780721e-5	9.461718773815153e-5	0.0	1.774468397062402e-5	7.498644155949035e-6	-1.833910688465074e-5
694.0	2.977759426024971e-5	-1.5040805739429951e-5	9.448074652259074e-5	0.0	1.7743968052566642e-5	7.4872725546085284e-6	-1.8306129818088154e-5
695.0	2.974313827308277e-5	-1.5023686731346407e-5	9.434456582637914e-5	0.0	1.7743205681229883e-5	7.475937462986134e-6	-1.8273206432300208e-5
696.0	2.9708741751349278e-5	-1.5006585231541223e-5	9.420864615162598e-5	0.0	1.774239412097822e-5	7.464640104686541e-6	-1.8240336033520642e-5
697.0	2.967440466873093e-5	-1.4989502009091977e-5	9.407298795013077e-5	0.0	1.7741530682075275e-5	7.453381638279221e-6	-1.820751797669618e-5
698.0	2.9640126960110977e-5	-1.4972437810263435e-5	9.393759162273547e-5	0.0	1.7740612725208986e-5	7.44216315664565e-6	-1.817475166519836e-5
699.0	2.9605908522607178e-5	-1.4955393357693152e-5	9.380245751877685e-5	0.0	1.7739637665796187e-5	7.430985686463201e-6	-1.814203655045626e-5
700.0	2.9571749216648772e-5	-1.4938369349640573e-5	9.36675859356703e-5	0.0	1.773860297807318e-5	7.41985018782282e-6	-1.8109372131517718e-5
701.0	2.9537648867092535e-5	-1.4921366459301201e-5	9.35329771185876e-5	0.0	1.773750619896369e-5	7.4087575539782136e-6	-1.8076757954543124e-5
702.0	2.9503607264377678e-5	-1.49043853341835e-5	9.339863126025527e-5	0.0	1.7736344931726137e-5	7.3977086112232765e-6	-1.804419361222746e-5
703.0	2.9469624165713826e-5	-1.4887426595549152e-5	9.32645485008535e-5	0.0	1.773511684937922e-5	7.3867041188954365e-6	-1.801167874315723e-5
704.0	2.9435699296300986e-5	-1.4870490837916e-5	9.313072892802488e-5	0.0	1.773381969791129e-5	7.375744769501815e-6	-1.7979213031108326e-5
705.0	2.9401832350577648e-5	-1.485357862862267e-5	9.299717257697184e-5	0.0	1.7732451299249994e-5	7.364831188965006e-6	-1.7946796204277694e-5
706.0	2.9368022993493673e-5	-1.4836690507454234e-5	9.286387943066689e-5	0.0	1.773100955403104e-5	7.353963936985484e-6	-1.7914428034459427e-5
707.0	2.9334270861805482e-5	-1.4819826986329168e-5	9.273084942015253e-5	0.0	1.7729492444124147e-5	7.343143507516598e-6	-1.788210833616697e-5
708.0	2.930057556538999e-5	-1.4802988549044696e-5	9.259808242493039e-5	0.0	1.772789803495035e-5	7.332370329348707e-6	-1.784983696570926e-5
709.0	2.926693668857552e-5	-1.4786175651080776e-5	9.246557827344309e-5	0.0	1.7726224477576138e-5	7.3216447667991894e-6	-1.781761382020523e-5
710.0	2.923335379148554e-5	-1.4769388719461156e-5	9.233333674364053e-5	0.0	1.7724470010590464e-5	7.310967120503806e-6	-1.7785438836561043e-5
711.0	2.9199826411393476e-5	-1.4752628152670823e-5	9.220135756363335e-5	0.0	1.7722632961760385e-5	7.300337628306683e-6	-1.7753311990397707e-5
712.0	2.916635406408554e-5	-1.4735894320627848e-5	9.206964041241832e-5	0.0	1.772071174948953e-5	7.289756466243947e-6	-1.7721233294945118e-5
713.0	2.913293624522848e-5	-1.4719187564709082e-5	9.193818492068104e-5	0.0	1.7718704884043304e-5	7.279223749617578e-6	-1.768920279988986e-5
714.0	2.9099572431738536e-5	-1.470250819782727e-5	9.180699067168468e-5	0.0	1.771661096858199e-5	7.268739534153907e-6	-1.7657220590194417e-5
715.0	2.9066262083152275e-5	-1.4685856504559523e-5	9.16760572022073e-5	0.0	1.7714428699988347e-5	7.258303817245204e-6	-1.7625286784880072e-5
716.0	2.9033004642993365e-5	-1.4669232741324353e-5	9.154538400355875e-5	0.0	1.771215686949375e-5	7.2479165392673326e-6	-1.7593401535782525e-5
717.0	2.8999799540134642e-5	-1.4652637136605891e-5	9.14149705226522e-5	0.0	1.7709794363106407e-5	7.23757758497145e-6	-1.7561565026278342e-5
718.0	2.89666461901535e-5	-1.4636069891225022e-5	9.128481616313821e-5	0.0	1.7707340161845247e-5	7.227286784944225e-6	-1.7529777469990827e-5
