# (1)t	# (2) P[5<--1](t)	# (3) P[5<--2](t)	# (4) P[5<--3](t)	# (5) P[5<--4](t)	# (6) P[5<--5](t)	# (7) P[5<--6](t)	# (8) P[5<--7](t)
86.0	0.005465242114	0.0001547142007	-0.0002580109292	0.001520599977	0.0	0.007328970849	1.004019614e-5
87.0	0.005488055557	0.0001558632072	-0.0002617415365	0.001591315351	0.0	0.007428894155	1.097229149e-5
88.0	0.005508981979	0.0001569084007	-0.0002653004303	0.001662408967	0.0	0.007525024732	1.191727768e-5
89.0	0.00552809395	0.0001578505019	-0.000268685195	0.001733734494	0.0	0.007617317906	1.287336544e-5
90.0	0.005545467418	0.0001586904597	-0.0002718940007	0.00180514427	0.0	0.007705740534	1.383875101e-5
91.0	0.00556118142	0.0001594294404	-0.0002749255949	0.001876490006	0.0	0.007790271058	1.481162369e-5
92.0	0.005575317791	0.0001600688177	-0.0002777792904	0.001947623497	0.0	0.00787089951	1.579017326e-5
93.0	0.005587960873	0.0001606101608	-0.0002804549527	0.00201839733	0.0	0.007947627494	1.677259721e-5
94.0	0.005599197224	0.0001610552236	-0.0002829529833	0.002088665583	0.0	0.008020468126	1.775710794e-5
95.0	0.005609115322	0.0001614059331	-0.0002852743019	0.002158284523	0.0	0.008089445943	1.874193958e-5
96.0	0.005617805277	0.0001616643772	-0.0002874203273	0.00222711327	0.0	0.00815459678	1.972535466e-5
97.0	0.005625358536	0.0001618327936	-0.000289392955	0.002295014465	0.0	0.008215967603	2.070565054e-5
98.0	0.005631867603	0.0001619135573	-0.0002911945354	0.002361854894	0.0	0.008273616324	2.16811655e-5
99.0	0.005637425754	0.0001619091687	-0.000292827849	0.002427506098	0.0	0.008327611564	2.26502845e-5
100.0	0.005642126756	0.0001618222425	-0.0002942960815	0.002491844945	0.0	0.0083780324	2.361144468e-5
101.0	0.0056460646	0.000161655495	-0.0002956027982	0.002554754176	0.0	0.00842496807	2.456314046e-5
102.0	0.005649333234	0.000161411733	-0.0002967519168	0.002616122904	0.0	0.008468517649	2.550392828e-5
103.0	0.005652026303	0.0001610938423	-0.0002977476807	0.00267584708	0.0	0.008508789695	2.643243096e-5
104.0	0.005654236899	0.0001607047766	-0.0002985946315	0.00273382992	0.0	0.008545901866	2.73473417e-5
105.0	0.005656057318	0.0001602475459	-0.0002992975814	0.002789982279	0.0	0.008579980511	2.824742762e-5
106.0	0.005657578828	0.0001597252068	-0.0002998615859	0.002844222989	0.0	0.008611160228	2.913153295e-5
107.0	0.005658891446	0.0001591408509	-0.0003002919163	0.002896479142	0.0	0.008639583407	2.999858182e-5
108.0	0.005660083719	0.0001584975959	-0.0003005940327	0.002946686335	0.0	0.008665399738	3.08475806e-5
