#t	#1	#2	#3	#4	#5	#6	#7
678.0	0.4238278208405427	0.0	-0.20221399263023412	0.014575635244526106	0.00013865056209295157	-0.03589480183538148	0.0054928873414612405
679.0	0.4238982886871278	0.0	-0.20242171555619384	0.01459094299558773	0.00013902681335688715	-0.03592833725364966	0.005499184032658117
680.0	0.4239685766349107	0.0	-0.2026292000394538	0.014606233468079322	0.00013940268118412227	-0.03596183223184061	0.005505473753930212
681.0	0.42403868643348214	0.0	-0.2028364462574668	0.014621506665497889	0.00013977816618511844	-0.03599528681449202	0.005511756503526136
682.0	0.4241086199866357	0.0	-0.2030434543942914	0.014636762592311685	0.00014015326893273902	-0.03602870104732193	0.005518032280066631
683.0	0.42417837934500113	0.0	-0.20325022464055914	0.014652001253957983	0.00014052798996284487	-0.036062074977209674	0.005524301082549028
684.0	0.42424796669859366	0.0	-0.20345675719342998	0.014667222656839096	0.0001409023297749435	-0.03609540865217501	0.005530562910350906
685.0	0.42431738436929506	0.0	-0.20366305225653644	0.01468242680831673	0.00014127628883288938	-0.03612870212135551	0.005536817763232965
686.0	0.42438663480328254	0.0	-0.20386911003991662	0.014697613716704663	0.00014164986756563203	-0.03616195543498223	0.0055430656413411146
687.0	0.4244557205634202	0.0	-0.20407493075993688	0.014712783391259861	0.00014202306636801042	-0.03619516864435394	0.005549306545207814
688.0	0.4245246443216284	0.0	-0.20428051463920407	0.014727935842172055	0.00014239588560158956	-0.03622834180180968	0.00555554047575266
689.0	0.4245934088512455	0.0	-0.20448586190646836	0.014743071080551852	0.0001427683255955382	-0.03626147496070013	0.005561767434282252
690.0	0.4246620170193964	0.0	-0.20469097279651638	0.014758189118417427	0.00014314038664754361	-0.036294568175357526	0.005567987422489357
691.0	0.4247304717793811	0.0	-0.20489584755005572	0.014773289968679862	0.00014351206902476154	-0.03632762150106441	0.005574200442451371
692.0	0.4247987761630984	0.0	-0.20510048641359094	0.014788373645127209	0.00014388337296479864	-0.03636063499402128	0.005580406496628136
693.0	0.42486693327351566	0.0	-0.20530488963929144	0.014803440162407297	0.00014425429867672416	-0.03639360871131316	0.005586605587859082
694.0	0.4249349462771991	0.0	-0.20550905748485201	0.014818489536009402	0.00014462484634210912	-0.03642654271087529	0.005592797719359775
695.0	0.4250028183969163	0.0	-0.20571299021334602	0.014833521782244792	0.00014499501611608945	-0.03645943705145786	0.005598982894717833
696.0	0.42507055290432216	0.0	-0.20591668809307204	0.014848536918226235	0.00014536480812845092	-0.036492291792590094	0.005605161117888282
