# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy
19.5	1.298413363e-6	5.877973819e-7	1.886210745e-6	1.310870082e-6	9.463723359e-7
19.75	1.151303999e-6	7.81655228e-7	1.932959227e-6	1.554290122e-6	6.961685623e-7
20.0	1.343190341e-6	6.324344327e-7	1.975624773e-6	1.450634806e-6	8.905279519e-7
20.25	1.196124106e-6	8.262442087e-7	2.022368315e-6	1.694014532e-6	6.403666931e-7
20.5	1.38799459e-6	6.770352386e-7	2.065029829e-6	1.590343191e-6	8.347424571e-7
20.75	1.240944128e-6	8.708255981e-7	2.111769727e-6	1.833693493e-6	5.846114057e-7
21.0	1.432782102e-6	7.216461315e-7	2.154428234e-6	1.730011371e-6	7.789981774e-7
21.25	1.285723962e-6	9.154414149e-7	2.201165377e-6	1.973339724e-6	5.288888853e-7
21.5	1.477527378e-6	7.662942061e-7	2.243821584e-6	1.869650433e-6	7.232829732e-7
21.75	1.330460588e-6	9.600959972e-7	2.290556585e-6	2.112961955e-6	4.731896577e-7
22.0	1.522242031e-6	8.109689466e-7	2.333210978e-6	2.009267984e-6	6.675885145e-7
22.25	1.37517491e-6	1.004769341e-6	2.379944251e-6	2.25256618e-6	4.175072124e-7
22.5	1.566946173e-6	8.556509882e-7	2.422597161e-6	2.148869233e-6	6.119090908e-7
22.75	1.419883037e-6	1.049445956e-6	2.469328992e-6	2.392156506e-6	3.618370838e-7
23.0	1.611648466e-6	9.003321784e-7	2.511980645e-6	2.288457752e-6	5.562407845e-7
23.25	1.464588254e-6	1.094122983e-6	2.558711237e-6	2.531735766e-6	3.061762008e-7
23.5	1.656347866e-6	9.450139223e-7	2.601361788e-6	2.428036004e-6	5.005809057e-7
23.75	1.509288441e-6	1.13880283e-6	2.648091271e-6	2.671305886e-6	2.505224642e-7
24.0	1.701042244e-6	9.896985896e-7	2.690740834e-6	2.567605674e-6	4.449276094e-7
24.25	1.553982998e-6	1.183486307e-6	2.737469305e-6	2.81086821e-6	1.948744259e-7
24.5	1.745732111e-6	1.034385837e-6	2.780117947e-6	2.707167918e-6	3.892796267e-7
24.75	1.598673558e-6	1.228171909e-6	2.826845467e-6	2.950423637e-6	1.392311e-7
25.0	1.790419284e-6	1.079073957e-6	2.869493241e-6	2.846723525e-6	3.3363609e-7
