# (1)t	# (2) P[2<--1](t)	# (3) P[2<--2](t)
860.0	0.7475232938	-0.5027678882
864.0	0.7483605217	-0.5044037135
868.0	0.7491949963	-0.5060341594
872.0	0.7500267267	-0.5076592434
876.0	0.7508557219	-0.5092789833
880.0	0.7516819909	-0.5108933965
884.0	0.7525055427	-0.5125025007
888.0	0.7533263861	-0.5141063132
892.0	0.7541445302	-0.5157048514
896.0	0.7549599837	-0.5172981328
900.0	0.7557727556	-0.5188861745
904.0	0.7565828546	-0.5204689939
908.0	0.7573902895	-0.5220466081
912.0	0.7581950692	-0.5236190342
916.0	0.7589972023	-0.5251862893
920.0	0.7597966975	-0.5267483904
924.0	0.7605935635	-0.5283053544
928.0	0.761387809	-0.5298571982
932.0	0.7621794426	-0.5314039387
936.0	0.7629684728	-0.5329455926
940.0	0.7637549082	-0.5344821767
944.0	0.7645387575	-0.5360137077
948.0	0.7653200289	-0.5375402021
952.0	0.7660987311	-0.5390616765
956.0	0.7668748725	-0.5405781475
960.0	0.7676484615	-0.5420896315
964.0	0.7684195066	-0.5435961449
968.0	0.7691880159	-0.545097704
972.0	0.769953998	-0.5465943251
976.0	0.7707174611	-0.5480860245
980.0	0.7714784136	-0.5495728183
984.0	0.7722368635	-0.5510547228
988.0	0.7729928193	-0.5525317539
992.0	0.7737462891	-0.5540039277
996.0	0.774497281	-0.5554712601
1000.0	0.7752458032	-0.5569337672
