# (1)t	# (2) P[2<--1](t)	# (3) P[2<--2](t)
752.0	-1.988761105e-11	-6.608167432e-13
756.0	-1.999768144e-11	-6.6139047e-13
760.0	-2.010740669e-11	-6.619283389e-13
764.0	-2.021678457e-11	-6.624303499e-13
768.0	-2.032582852e-11	-6.628965029e-13
772.0	-2.043453182e-11	-6.633178335e-13
776.0	-2.054288775e-11	-6.636943417e-13
780.0	-2.065090078e-11	-6.64034992e-13
784.0	-2.075857765e-11	-6.643397844e-13
788.0	-2.086591387e-11	-6.646087188e-13
792.0	-2.097290944e-11	-6.648417953e-13
796.0	-2.107956884e-11	-6.650390139e-13
800.0	-2.118589207e-11	-6.652003746e-13
804.0	-2.129188361e-11	-6.653258773e-13
808.0	-2.139754347e-11	-6.654155221e-13
812.0	-2.150288509e-11	-6.65469309e-13
816.0	-2.160790511e-11	-6.65487238e-13
820.0	-2.171259233e-11	-6.65469309e-13
824.0	-2.18169557e-11	-6.654155221e-13
828.0	-2.192099635e-11	-6.653258773e-13
832.0	-2.202471988e-11	-6.652003746e-13
836.0	-2.212812741e-11	-6.650390139e-13
840.0	-2.223120438e-11	-6.648417953e-13
844.0	-2.233395527e-11	-6.646087188e-13
848.0	-2.243638567e-11	-6.643487489e-13
852.0	-2.253849335e-11	-6.640618855e-13
856.0	-2.264027271e-11	-6.637391641e-13
860.0	-2.274172599e-11	-6.633805849e-13
864.0	-2.284286327e-11	-6.629861477e-13
868.0	-2.294368903e-11	-6.625603348e-13
872.0	-2.304419768e-11	-6.621031463e-13
876.0	-2.314439705e-11	-6.616145821e-13
880.0	-2.324430059e-11	-6.610946421e-13
884.0	-2.334389822e-11	-6.605388443e-13
888.0	-2.344318769e-11	-6.599516708e-13
892.0	-2.354216005e-11	-6.593331215e-13
896.0	-2.364081529e-11	-6.586831966e-13
900.0	-2.373916349e-11	-6.580063783e-13
904.0	-2.383721475e-11	-6.572981843e-13
908.0	-2.393496793e-11	-6.565586146e-13
912.0	-2.403241857e-11	-6.557876692e-13
916.0	-2.412957114e-11	-6.549853481e-13
920.0	-2.422642451e-11	-6.541561336e-13
924.0	-2.432296974e-11	-6.532955434e-13
928.0	-2.441920569e-11	-6.524035775e-13
932.0	-2.451514805e-11	-6.514847181e-13
936.0	-2.461078898e-11	-6.505389653e-13
940.0	-2.470612063e-11	-6.495618369e-13
944.0	-2.480114638e-11	-6.485533327e-13
948.0	-2.489587181e-11	-6.475179351e-13
952.0	-2.499030814e-11	-6.464556441e-13
956.0	-2.508445424e-11	-6.453664596e-13
960.0	-2.517830676e-11	-6.442503817e-13
964.0	-2.527186121e-11	-6.431074103e-13
968.0	-2.536511647e-11	-6.419375455e-13
972.0	-2.545808598e-11	-6.407407872e-13
976.0	-2.55507832e-11	-6.395126533e-13
980.0	-2.5643207e-11	-6.382531436e-13
984.0	-2.573533722e-11	-6.369712228e-13
988.0	-2.582717049e-11	-6.356668908e-13
992.0	-2.591872137e-11	-6.343356653e-13
996.0	-2.600998428e-11	-6.329775464e-13
1000.0	-2.610095808e-11	-6.31592534e-13
