# (1)t	(2)P_1	(3)P_2	(4)trace	(5)purity	(6)vonNeumann_entropy
20.0	-4.980483067e-15	2.588060023e-15	-2.392423044e-15	5.843917984000001e-14	-1.210292461e-13
20.25	-2.1626941080000003e-14	1.820398801e-14	-3.422953063e-15	5.5929682740000005e-14	-1.190281302e-13
20.5	-3.856792936e-14	3.4899209440000005e-14	-3.668719917e-15	5.609235333000001e-14	-1.200716851e-13
20.75	-4.82013323e-14	4.517913404e-14	-3.022198266e-15	5.713446457e-14	-1.204268494e-13
21.0	-4.7011383400000003e-14	4.323164081e-14	-3.779742587e-15	5.3579722750000005e-14	-1.158973835e-13
21.25	-3.328012667e-14	2.863934901e-14	-4.64077766e-15	4.5698930170000005e-14	-1.032102598e-13
21.5	-1.5262242740000003e-14	9.828014255000001e-15	-5.434228489e-15	3.6862102850000005e-14	-8.837039777e-14
21.75	5.247652186999999e-16	-6.129901452e-15	-5.605136233e-15	2.8564984850000004e-14	-7.265500718000001e-14
22.0	7.473879591e-15	-1.3444993200000001e-14	-5.971113611e-15	2.131794584e-14	-5.945378997e-14
22.25	2.762574437e-15	-7.564405229e-15	-4.801830791e-15	2.1688453330000003e-14	-5.6813000260000005e-14
22.5	-9.098620402e-15	4.291400662e-15	-4.80721974e-15	2.2638104340000002e-14	-5.869061362e-14
22.75	-2.0889380570000003e-14	1.5869750310000002e-14	-5.0196302620000005e-15	2.357840942e-14	-6.116449535000001e-14
23.0	-2.854710966e-14	2.2290444390000003e-14	-6.256665273e-15	2.2068339410000002e-14	-6.179019271e-14
23.25	-2.7804847230000002e-14	2.132085606e-14	-6.483991168e-15	2.01500046e-14	-5.873436868000001e-14
23.5	-2.004456732e-14	1.4321185250000002e-14	-5.7233820640000004e-15	1.8175319550000003e-14	-5.271945279000001e-14
23.75	-9.400767756e-15	2.660888842e-15	-6.739878914e-15	1.34279697e-14	-4.6339174360000005e-14
24.0	-3.9321829399999995e-16	-6.489177846e-15	-6.88239614e-15	9.497353474e-15	-3.899714998e-14
24.25	4.886597015e-15	-1.1020606460000001e-14	-6.134009444e-15	5.868364858e-15	-2.961159588e-14
24.5	2.681371952e-15	-9.192694625e-15	-6.511322673e-15	4.646311132e-15	-2.8281883100000002e-14
24.75	-6.414016491e-15	-3.595763294e-16	-6.77359282e-15	6.887660945e-15	-3.350305959e-14
25.0	-1.422689751e-14	7.547293401000001e-15	-6.6796041090000004e-15	7.33668745e-15	-3.4116246200000004e-14
